seqNum,account,expense
68,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,226625
69,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-108000
69,0x2205571079DeB4D9304142567Ff406ddE867DC8A,-120800
69,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,228697
70,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-155000
70,0x2205571079DeB4D9304142567Ff406ddE867DC8A,-83200
70,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,238021
71,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,34000
71,0x2205571079DeB4D9304142567Ff406ddE867DC8A,-27200
71,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,0
72,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-196000
72,0x2205571079DeB4D9304142567Ff406ddE867DC8A,-50400
72,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,246309
73,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-259000
73,0x2205571079DeB4D9304142567Ff406ddE867DC8A,0
73,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,259000
74,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-259000
74,0x2205571079DeB4D9304142567Ff406ddE867DC8A,0
74,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,259000
75,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-96000
75,0x2205571079DeB4D9304142567Ff406ddE867DC8A,-130400
75,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,226366
76,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-65000
76,0x2205571079DeB4D9304142567Ff406ddE867DC8A,-155200
76,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,220150
77,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-72000
77,0x2205571079DeB4D9304142567Ff406ddE867DC8A,-149600
77,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,221445
78,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-121000
78,0x2205571079DeB4D9304142567Ff406ddE867DC8A,-110400
78,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,231287
79,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-77000
79,0x2205571079DeB4D9304142567Ff406ddE867DC8A,-145600
79,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,222481
80,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-71000
80,0x2205571079DeB4D9304142567Ff406ddE867DC8A,-150400
80,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,221186
81,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,183000
81,0x2205571079DeB4D9304142567Ff406ddE867DC8A,-146400
81,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,0
82,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,176000
82,0x2205571079DeB4D9304142567Ff406ddE867DC8A,-140800
82,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,0
83,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-93000
83,0x2205571079DeB4D9304142567Ff406ddE867DC8A,-132800
83,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,225589
84,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-94000
84,0x2205571079DeB4D9304142567Ff406ddE867DC8A,-132000
84,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,225848
85,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-110000
85,0x2205571079DeB4D9304142567Ff406ddE867DC8A,-119200
85,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,228956
86,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-119000
86,0x2205571079DeB4D9304142567Ff406ddE867DC8A,-112000
86,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,230769
87,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-259000
87,0x2205571079DeB4D9304142567Ff406ddE867DC8A,0
87,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,259000
88,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-259000
88,0x2205571079DeB4D9304142567Ff406ddE867DC8A,0
88,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,259000
89,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-134000
